UniqueID,descriptiveLine,copyNumber,creditLine,historicalContextNote,objectHistoryNote,object,summary,productionNote,recordCreationDate,uniqueID,physicalDescription,materialsTechniques,dimensionsNote,imageResolution,contentDescription,recordModificationDate,museumNumber,aspects: item_count,images: item_count,objectNumber: item_count,collectionCode,productionType
O1507254,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507253,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507252,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507251,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507250,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507249,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507248,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507247,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507246,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507245,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507244,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507243,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507242,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507241,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507240,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507239,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507238,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507237,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507236,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507235,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507234,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507233,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507232,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507231,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507230,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507229,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507228,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507227,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507226,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507225,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507224,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507223,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507222,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507221,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507220,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507219,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507218,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507217,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507216,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507215,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507214,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507213,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507212,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507211,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507210,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507209,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507208,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507207,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507206,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507205,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507204,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
O1507203,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,13,1,0,1,3,0
